2025-07-14 11:14:23 | INFO     | __main__:setup_production_logging:52 | ✅ Production logging configured
2025-07-14 11:14:23 | INFO     | __main__:validate_environment:58 | 🔍 Validating production environment...
2025-07-14 11:14:23 | ERROR    | __main__:validate_environment:76 | ❌ Missing required environment variables: ['HDFS_NAMENODE', 'HIVE_SERVER_HOST']
2025-07-14 11:16:16 | INFO     | __main__:setup_production_logging:52 | ✅ Production logging configured
2025-07-14 11:16:16 | INFO     | __main__:validate_environment:58 | 🔍 Validating production environment...
2025-07-14 11:16:16 | ERROR    | __main__:validate_environment:76 | ❌ Missing required environment variables: ['mycluster', 'hadoop101:9870', 'hadoop101']
2025-07-14 11:19:49 | INFO     | __main__:setup_production_logging:52 | ✅ Production logging configured
2025-07-14 11:19:49 | INFO     | __main__:validate_environment:58 | 🔍 Validating production environment...
2025-07-14 11:19:49 | ERROR    | __main__:validate_environment:76 | ❌ Missing required environment variables: ['HDFS_NAMENODE', 'HIVE_SERVER_HOST']
2025-07-14 11:26:46 | INFO     | __main__:setup_production_logging:52 | ✅ Production logging configured
2025-07-14 11:26:46 | INFO     | __main__:validate_environment:58 | 🔍 Validating production environment...
2025-07-14 11:26:46 | ERROR    | __main__:validate_environment:78 | ❌ Missing required environment variables: ['D:\\Program Files\\software\\hadoop-3.1.0', 'hdfs://hadoop101:8020', 'hadoop', 'hadoop101', 'bigdata']
2025-07-14 11:30:35 | INFO     | __main__:setup_production_logging:52 | ✅ Production logging configured
2025-07-14 11:30:35 | INFO     | __main__:validate_environment:58 | 🔍 Validating production environment...
2025-07-14 11:30:35 | ERROR    | __main__:validate_environment:76 | ❌ Missing required environment variables: ['HDFS_NAMENODE', 'HDFS_USER', 'HIVE_SERVER_HOST', 'HIVE_USERNAME']
2025-07-14 11:31:17 | INFO     | __main__:setup_production_logging:52 | ✅ Production logging configured
2025-07-14 11:31:17 | INFO     | __main__:validate_environment:58 | 🔍 Validating production environment...
2025-07-14 11:31:17 | INFO     | __main__:validate_environment:59 | 🔧 IS_LOCAL_DEV: False
2025-07-14 11:31:17 | INFO     | __main__:validate_environment:60 | 🔧 MOCK_DATA_MODE: False
2025-07-14 11:31:17 | INFO     | __main__:validate_environment:61 | 🔧 use_real_clusters: True
2025-07-14 11:31:17 | INFO     | __main__:validate_environment:65 | 🔍 Validating real cluster configuration...
2025-07-14 11:31:17 | INFO     | __main__:validate_environment:81 | ✅ HADOOP_HOME: D:\Program Files\software\hadoop-3.1.0
2025-07-14 11:31:17 | INFO     | __main__:validate_environment:81 | ✅ HDFS_NAMENODE: hdfs://hadoop101:8020
2025-07-14 11:31:17 | INFO     | __main__:validate_environment:81 | ✅ HDFS_USER: hadoop
2025-07-14 11:31:17 | INFO     | __main__:validate_environment:81 | ✅ HIVE_SERVER_HOST: hadoop101
2025-07-14 11:31:17 | INFO     | __main__:validate_environment:81 | ✅ HIVE_USERNAME: bigdata
2025-07-14 11:31:17 | INFO     | __main__:validate_environment:95 | ✅ HADOOP_HOME found: D:\Program Files\software\hadoop-3.1.0
2025-07-14 11:31:17 | INFO     | __main__:validate_environment:104 | ✅ Log directory ready: logs
2025-07-14 11:31:17 | INFO     | __main__:validate_environment:109 | ✅ Environment validation passed
2025-07-14 11:31:17 | INFO     | __main__:test_dependencies:115 | 🔍 Testing critical dependencies...
